,Account,Post,Tag,Likes,Comments
0,agathamarcellas,b'how do you sleep when you lie to me?',[],452,"[b'How? Ditanya cella nih @ricky.gunawann', b'Unj', b'', b'So cuteeee ', b'adem liatnya dah', b'', b'ceyeng', b'Cek dm ya kak @agathamarcellas ', b'aku ga lie kok', b'Just close your eyes', b'', b'cantikkk', b'mantap cuy', b'gaperna boong aku mah', b'pipinya tumpeh', b'Cutieeeee']"
1,agathamarcellas,"b""don't let me stay on your mind""",[],595,"[b'Lancar dietnya ya', b'', b'', b'but you have filled my mind,gimana dw0nk.', b'Kentang sii jatohnyee wkwk', b'bbbbbbbbbeautiful', b'', b""You ain't no mine but U keep in my mind? How's that possible?"", b'', b'anjhay', b'', b'', b'Owhhhhhh', b'Dikit lg gat wkwk', b'', b'', b'buka semua dong kak', b'', b'so fab', b'', b'Cakep amat si jamet', b'', b'adawwe', b'ughh', b'', b'Boleh juga nih.. hoho']"
2,agathamarcellas,b'/hell - o\\',[],545,"[b'Aduuw', b'abis nyulam alis bu', b'', b'ehhh somzzz', b'hot bgt sih kak', b'iya cantik iyaaa tau iyaaa', b'Aduadu', b'Pritiiiiiiiii', b'', b'kurang turun kakkk', b'', b'Iiih kenapa di post siii:(', b'Kann mksd gue nanti nanti aja gathh wkwkwkwkwk', b'', b'Wagelaseh ', b'canteeeeq sekalee adek acu', b'']"
3,agathamarcellas,"b""i won't beg for your love""",[],760,"[b'Aku pertama yashhh', b'Hot bet', b'ughlala', b'putih ya dindingnya..', b'Uhh ', b'Kutilang :v', b'Baru juga dari kamar mandi gue:(', b'', b'', b'HADU TOLONG YA TOLONG GAKUADD', b'wadaww hottieeeeee', b'', b'', b'', b'etttttt', b'Wow.....', b'Canciii', b'', b'tt', b'folbak;)', b'', b'', b'Cutie!!!', b'HOT!!!! ']"
4,agathamarcellas,b'could you fall for a girl like me?',[],654,"[b""No. I'm not."", b'Emang paling kelas', b'', b'Ur body ', b'Aduhayy', b'Tak kuat aku melihatnyaa', b'Gada tandingannya dah', b'ootd lebaran thn dpn kek gini ah ', b'Canci bgt', b'Wadawww jatoh bekali2 jg mau dah @ricky.gunawann', b'Wadidaw', b'ututuu', b'ughhhh ', b'Maaf mba bisa tlg ambilin barangny', b'Sendiri mulu berduanya kapan?', b'perfffff', b'Hiyahiya', b'', b'mulus hm', b'spot sejuta umat', b'', b'', b'Body goalss', b'bby', b'Cutiess', b'', b'uwww', b'Kayak kenallll', b'Gathaaa', b'Adadaw', b'gat sepatunya kek di pabji', b'Absolutely', b'wuih skg makin canci aja gat', b'Omg']"
5,agathamarcellas,b'pinjem ya @bimoaryo5',[],437,"[b'Minjem mulu da lu', b'tu celana abis jatoh dmn si', b'Blm ready itu kucingnye', b'Kasian kucingnya tegang :((', b'Lutcuu', b'Nice pict sist', b'sawan gath dipegang lo', b'WIIIIIIIII', b'Khucengggg', b'cantik bener emg', b'Like  dong kakak ']"
6,agathamarcellas,b'am i crazy or falling in love?',[],435,"[b'Yahh yang ini wkwkwk', b'Kebanyakan selfie td pagi bangun kesiangan @ricky.gunawann', b'', b'Charming', b'Senang bgt kyknya wkwkwk', b'', b'WIIII', b'Ceriiaa banget ya sisttt', b'God damn ! Such a cute girl on my instagram ', b'Seneng gitu', b'cantiknyah']"
7,agathamarcellas,b'call me what you want when you want if you want',[],446,"[b'cakeubh.', b'Kyutt', b'Liat deh, manis ya. @janicepriscill', b'cantikkk', b'Cantixxnyoo', b'vikendi', b'Cwantic ', b'Alat masak vienta tersertifikasi food grade dengan masa garansi 2 tahun akan menjadikan masakan menjadi hiegenis dan sehat', b'Butuh sewa mobil kalo dijogja , hub : WA : 085643330767 :p', b'Alat masak vienta tersertifikasi food grade dengan masa garansi 2 tahun akan menjadikan masakan menjadi hiegenis dan sehat', b'']"
8,agathamarcellas,b'i wish everyday is a saturday',[],456,"[b'Cantiik terus', b'Siapa coba yg fotoin', b'lu di sukabumi?', b'cinaaaaa', b'', b'', b'']"
9,agathamarcellas,b'thinking you could live without me',[],512,"[b'', b'liiiiive without me', b'khan maen', b'Goddes ', b'Wow', b'ulalalala', b'beautiful', b'', b'gatha ku', b'Selalu cantik ', b'Emesh']"
10,agathamarcellas,b' : @victordh4',[],475,"[b'gercep', b'taken by', b'', b'cantik udeh', b'sm aku gaada', b'Udah dapet aja fotonya', b'Utayanggg', b'Wadaww ', b'@agathamarcellas Kirimin slamnya yaa...']"
11,agathamarcellas,b'is happy ever after did exist?',[],450,"[b'Lirik lagu bukan sih?', b'salah grammar keyaknya dah', b'Kampus abizzz', b'tumbennnn', b'lucu amatseh']"
12,agathamarcellas,b'where did love go?',[],453,"[b'', b'Here wkwk', b'Malaikat dri mana nich', b'Followback', b""Ahh suka ni kl kaya gini kalem' gituuuu"", b'Syantiq', b'cakep anedd', b'Panutanque', b'Wah kak followernya lumayan banyak juga :)\nsayang banget kalo gak dimaksimalkan, kerjasama yuk kak bagi hasil sy punya usaha teh hijau & masker hijau :) kalo boleh ngobrol2 dm kita ya', b'Wah kak followernya lumayan banyak juga :)\nsayang banget kalo gak dimaksimalkan, kerjasama yuk kak bagi hasil sy punya usaha teh hijau & masker hijau :) kalo boleh ngobrol2 dm kita ya']"
13,agathamarcellas,b'i think about him and he knows it',[],475,"[b'Demi ?', b'dududu', b'cantik bgt sayang', b'Followback', b'tinggi bgt dong', b'', b'Mmmmm 10jam', b'Aduh tiang listrik', b'Nice', b'Priti as always!', b'Salken ya kak like back dan follback ya', b'Follback ya']"
